project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-PRAD	92252560-5984-41f6-a4b5-a3aa8654c0c8	TCGA-HC-7077	766eec0b-6346-4a94-9f1a-2ad9364ce165	TCGA-HC-7077-10A	b56c6001-6e71-4c69-bc78-daf9d0285c14	TCGA-HC-7077-10A-01	'--	'--	5cbecdf9-b80e-4fc0-ba03-18b7485d5514	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	PicoGreen	released	TCGA-HC-7077-10A-01W	'--
TCGA-PRAD	92252560-5984-41f6-a4b5-a3aa8654c0c8	TCGA-HC-7077	f3e4cc00-d6fe-4291-bb07-8e501e772ce1	TCGA-HC-7077-01A	620184cd-562a-46f6-b2b0-5558cefc0ad5	TCGA-HC-7077-01A-11	'--	'--	64455233-e847-4b12-9809-7e9737b6b645	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	PicoGreen	released	TCGA-HC-7077-01A-11W	'--
TCGA-PRAD	92252560-5984-41f6-a4b5-a3aa8654c0c8	TCGA-HC-7077	f3e4cc00-d6fe-4291-bb07-8e501e772ce1	TCGA-HC-7077-01A	620184cd-562a-46f6-b2b0-5558cefc0ad5	TCGA-HC-7077-01A-11	'--	'--	6be56a3c-b48c-4332-b692-e562a10180bd	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	PicoGreen	released	TCGA-HC-7077-01A-11D	'--
TCGA-PRAD	92252560-5984-41f6-a4b5-a3aa8654c0c8	TCGA-HC-7077	f3e4cc00-d6fe-4291-bb07-8e501e772ce1	TCGA-HC-7077-01A	620184cd-562a-46f6-b2b0-5558cefc0ad5	TCGA-HC-7077-01A-11	1.8	'--	c050e77f-e9b3-4fc0-9c32-d430f9386607	'--	RNA	'--	0.16	'--	mirVana (Allprep DNA) RNA	Yes	1.21	'--	8.0	UV Spec	released	TCGA-HC-7077-01A-11R	'--
TCGA-PRAD	e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4	TCGA-EJ-5504	7d0c0a85-8459-43a3-ac22-f447bb042149	TCGA-EJ-5504-01A	0225e8ca-c822-4ed9-81ab-b01fe264b48e	TCGA-EJ-5504-01A-01	'--	'--	0a7413d1-93e8-4e88-8e2b-27c49b42e584	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5504-01A-01W	'--
TCGA-PRAD	e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4	TCGA-EJ-5504	7d0c0a85-8459-43a3-ac22-f447bb042149	TCGA-EJ-5504-01A	0225e8ca-c822-4ed9-81ab-b01fe264b48e	TCGA-EJ-5504-01A-01	1.9	'--	1fac4bea-a051-4d41-b449-00218fe03709	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5504-01A-01D	'--
TCGA-PRAD	e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4	TCGA-EJ-5504	7d0c0a85-8459-43a3-ac22-f447bb042149	TCGA-EJ-5504-01A	0225e8ca-c822-4ed9-81ab-b01fe264b48e	TCGA-EJ-5504-01A-01	1.8	'--	6c9e9afb-f5f0-4282-98a3-dae4c5ed9658	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	1.53	'--	8.9	UV Spec	released	TCGA-EJ-5504-01A-01R	'--
TCGA-PRAD	e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4	TCGA-EJ-5504	efa8fc5e-04b7-47d0-8861-a36b500e0764	TCGA-EJ-5504-10A	3a59d4df-7a57-4e1a-a0af-6b215fc0c36c	TCGA-EJ-5504-10A-01	1.9	'--	8c90cae7-71bc-4471-8d88-7213abe120d2	'--	DNA	'--	0.15	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5504-10A-01D	'--
TCGA-PRAD	e1c3d1bd-cf8f-4fa4-ac8e-bf9e54f7aad4	TCGA-EJ-5504	efa8fc5e-04b7-47d0-8861-a36b500e0764	TCGA-EJ-5504-10A	3a59d4df-7a57-4e1a-a0af-6b215fc0c36c	TCGA-EJ-5504-10A-01	'--	'--	9fda34dc-409e-4af5-a0ed-0df4fc062837	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5504-10A-01W	'--
TCGA-PRAD	d8f56d75-51ab-4a86-a502-c86e1dcd1eff	TCGA-CH-5752	29ddf3d3-369b-4340-9b4f-338c23be538a	TCGA-CH-5752-10A	bcec075d-14ae-454c-bd6d-b279bba0ceeb	TCGA-CH-5752-10A-01	'--	'--	4659ce50-0b4c-4136-a3d6-2d54827da19d	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-CH-5752-10A-01W	'--
